UNIPROT	PATH	PATHNAME
A2AIR5	mmu04080	Neuroactive ligand-receptor interaction
A2AIR5	mmu05031	Amphetamine addiction
A2AIR5	mmu05030	Cocaine addiction
A2AIR5	mmu04724	Glutamatergic synapse
A2AIR5	mmu05017	Spinocerebellar ataxia
A2AIR5	mmu05034	Alcoholism
A2AIR5	mmu05033	Nicotine addiction
A2AIR5	mmu05020	Prion disease
A2AIR5	mmu04024	cAMP signaling pathway
A2AIR5	mmu04020	Calcium signaling pathway
A2AIV8	mmu05168	Herpes simplex virus 1 infection
A2AIV8	mmu05152	Tuberculosis
A2AIV8	mmu04625	C-type lectin receptor signaling pathway
A2AIV8	mmu04621	NOD-like receptor signaling pathway
A2AJ15	mmu04141	Protein processing in endoplasmic reticulum
A2AJ15	mmu00513	Various types of N-glycan biosynthesis
A2AJ15	mmu01100	Metabolic pathways
A2AJ15	mmu00510	N-Glycan biosynthesis
A2AJ88	mmu00564	Glycerophospholipid metabolism
A2AJL3	mmu01100	Metabolic pathways
A2AJL3	mmu00040	Pentose and glucuronate interconversions
A2AKK5	mmu01100	Metabolic pathways
A2AKK5	mmu04976	Bile secretion
A2AKK5	mmu01040	Biosynthesis of unsaturated fatty acids
A2AKK5	mmu00120	Primary bile acid biosynthesis
A2AKK5	mmu04146	Peroxisome
A2AKK5	mmu00430	Taurine and hypotaurine metabolism
A2AKM2	mmu01040	Biosynthesis of unsaturated fatty acids
A2AKM2	mmu01100	Metabolic pathways
A2AKM2	mmu00062	Fatty acid elongation
A2AKM2	mmu01212	Fatty acid metabolism
A2AKX3	mmu05014	Amyotrophic lateral sclerosis
A2ALS5	mmu04015	Rap1 signaling pathway
A2AM29	mmu05202	Transcriptional misregulation in cancer
A2AM29	mmu03250	Viral life cycle - HIV-1
A2AMZ4	mmu04714	Thermogenesis
A2AN08	mmu05165	Human papillomavirus infection
A2AN08	mmu05203	Viral carcinogenesis
A2AP18	mmu00562	Inositol phosphate metabolism
A2AP18	mmu01100	Metabolic pathways
A2APV2	mmu04820	Cytoskeleton in muscle cells
A2APX8	mmu04728	Dopaminergic synapse
A2APY7	mmu04714	Thermogenesis
A2AQ07	mmu04814	Motor proteins
A2AQ07	mmu05132	Salmonella infection
A2AQ07	mmu05020	Prion disease
A2AQ07	mmu05022	Pathways of neurodegeneration - multiple diseases
A2AQ07	mmu04540	Gap junction
A2AQ07	mmu05014	Amyotrophic lateral sclerosis
A2AQ07	mmu05012	Parkinson disease
A2AQ07	mmu05010	Alzheimer disease
A2AQ07	mmu04145	Phagosome
A2AQ07	mmu05016	Huntington disease
A2AQH4	mmu03083	Polycomb repressive complex
A2AQP0	mmu04820	Cytoskeleton in muscle cells
A2AQP0	mmu04814	Motor proteins
A2ARA8	mmu05165	Human papillomavirus infection
A2ARA8	mmu04810	Regulation of actin cytoskeleton
A2ARA8	mmu04514	Cell adhesion molecules
A2ARA8	mmu04820	Cytoskeleton in muscle cells
A2ARA8	mmu04151	PI3K-Akt signaling pathway
A2ARA8	mmu04510	Focal adhesion
A2ARA8	mmu05412	Arrhythmogenic right ventricular cardiomyopathy
A2ARA8	mmu05414	Dilated cardiomyopathy
A2ARA8	mmu04512	ECM-receptor interaction
A2ARA8	mmu05410	Hypertrophic cardiomyopathy
A2ARI4	mmu04310	Wnt signaling pathway
A2ARP1	mmu04070	Phosphatidylinositol signaling system
A2ARV4	mmu04979	Cholesterol metabolism
A2ARV4	mmu04918	Thyroid hormone synthesis
A2ARV4	mmu04340	Hedgehog signaling pathway
A2AS89	mmu00330	Arginine and proline metabolism
A2AS89	mmu01100	Metabolic pathways
A2ASI5	mmu04742	Taste transduction
A2AT37	mmu03015	mRNA surveillance pathway
A2AT37	mmu03013	Nucleocytoplasmic transport
A2ATU0	mmu00380	Tryptophan metabolism
A2ATU0	mmu00310	Lysine degradation
A2ATU0	mmu01210	2-Oxocarboxylic acid metabolism
A2ATU0	mmu01100	Metabolic pathways
A2ATU0	mmu00785	Lipoic acid metabolism
A2AUY4	mmu03082	ATP-dependent chromatin remodeling
A2AVJ5	mmu04150	mTOR signaling pathway
A2AWL7	mmu03083	Polycomb repressive complex
A2AWP0	mmu05222	Small cell lung cancer
A2AWP0	mmu04215	Apoptosis - multiple species
A2AWP0	mmu05145	Toxoplasmosis
A2AWP0	mmu05200	Pathways in cancer
A2AWP0	mmu04120	Ubiquitin mediated proteolysis
A2AX52	mmu04510	Focal adhesion
A2AX52	mmu04974	Protein digestion and absorption
A2AX52	mmu04820	Cytoskeleton in muscle cells
A2AX52	mmu04512	ECM-receptor interaction
A2AX52	mmu05165	Human papillomavirus infection
A2AX52	mmu04151	PI3K-Akt signaling pathway
A2BDX3	mmu04122	Sulfur relay system
A2BH40	mmu03082	ATP-dependent chromatin remodeling
A2BH40	mmu05225	Hepatocellular carcinoma
A2BH40	mmu04714	Thermogenesis
A2RST1	mmu00980	Metabolism of xenobiotics by cytochrome P450
A2RST1	mmu05200	Pathways in cancer
A2RST1	mmu00983	Drug metabolism - other enzymes
A2RST1	mmu05207	Chemical carcinogenesis - receptor activation
A2RST1	mmu00982	Drug metabolism - cytochrome P450
A2RST1	mmu01100	Metabolic pathways
A2RST1	mmu05204	Chemical carcinogenesis - DNA adducts
A2RST1	mmu00480	Glutathione metabolism
A2RST1	mmu01524	Platinum drug resistance
A2RST1	mmu05208	Chemical carcinogenesis - reactive oxygen species
A2RST1	mmu05225	Hepatocellular carcinoma
A2RST1	mmu05418	Fluid shear stress and atherosclerosis
A3KFX0	mmu00240	Pyrimidine metabolism
A3KFX0	mmu00760	Nicotinate and nicotinamide metabolism
A3KFX0	mmu01100	Metabolic pathways
A3KFX0	mmu00230	Purine metabolism
A3KFX0	mmu01232	Nucleotide metabolism
A3KGF7	mmu04310	Wnt signaling pathway
A3KGF7	mmu04972	Pancreatic secretion
A3KGF7	mmu04918	Thyroid hormone synthesis
A3KGF7	mmu04726	Serotonergic synapse
A3KGF7	mmu04928	Parathyroid hormone synthesis, secretion and action
A3KGF7	mmu04613	Neutrophil extracellular trap formation
A3KGF7	mmu05142	Chagas disease
A3KGF7	mmu04371	Apelin signaling pathway
A3KGF7	mmu04971	Gastric acid secretion
A3KGF7	mmu04927	Cortisol synthesis and secretion
A3KGF7	mmu04270	Vascular smooth muscle contraction
A3KGF7	mmu04072	Phospholipase D signaling pathway
A3KGF7	mmu04713	Circadian entrainment
A3KGF7	mmu04742	Taste transduction
A3KGF7	mmu04970	Salivary secretion
A3KGF7	mmu05010	Alzheimer disease
A3KGF7	mmu05022	Pathways of neurodegeneration - multiple diseases
A3KGF7	mmu04070	Phosphatidylinositol signaling system
A3KGF7	mmu04929	GnRH secretion
A3KGF7	mmu04062	Chemokine signaling pathway
A3KGF7	mmu04922	Glucagon signaling pathway
A3KGF7	mmu04730	Long-term depression
A3KGF7	mmu04934	Cushing syndrome
A3KGF7	mmu04015	Rap1 signaling pathway
A3KGF7	mmu04724	Glutamatergic synapse
A3KGF7	mmu04926	Relaxin signaling pathway
A3KGF7	mmu04261	Adrenergic signaling in cardiomyocytes
A3KGF7	mmu04611	Platelet activation
A3KGF7	mmu05163	Human cytomegalovirus infection
A3KGF7	mmu04925	Aldosterone synthesis and secretion
A3KGF7	mmu04911	Insulin secretion
A3KGF7	mmu04915	Estrogen signaling pathway
A3KGF7	mmu04720	Long-term potentiation
A3KGF7	mmu04921	Oxytocin signaling pathway
A3KGF7	mmu00562	Inositol phosphate metabolism
A3KGF7	mmu04933	AGE-RAGE signaling pathway in diabetic complications
A3KGF7	mmu04020	Calcium signaling pathway
A3KGF7	mmu04728	Dopaminergic synapse
A3KGF7	mmu04916	Melanogenesis
A3KGF7	mmu04723	Retrograde endocannabinoid signaling
A3KGF7	mmu05016	Huntington disease
A3KGF7	mmu04924	Renin secretion
A3KGF7	mmu05143	African trypanosomiasis
A3KGF7	mmu04935	Growth hormone synthesis, secretion and action
A3KGF7	mmu04071	Sphingolipid signaling pathway
A3KGF7	mmu05146	Amoebiasis
A3KGF7	mmu04750	Inflammatory mediator regulation of TRP channels
A3KGF7	mmu04621	NOD-like receptor signaling pathway
A3KGF7	mmu04919	Thyroid hormone signaling pathway
A3KGF7	mmu04961	Endocrine and other factor-regulated calcium reabsorption
A3KGF7	mmu05017	Spinocerebellar ataxia
A3KGF7	mmu05200	Pathways in cancer
A3KGF7	mmu04912	GnRH signaling pathway
A3KGF7	mmu05417	Lipid and atherosclerosis
A3KGF7	mmu04725	Cholinergic synapse
A3KGF7	mmu04540	Gap junction
A3KGF7	mmu04022	cGMP-PKG signaling pathway
A3KGF7	mmu04973	Carbohydrate digestion and absorption
A3KGF7	mmu05415	Diabetic cardiomyopathy
A3KGF7	mmu01100	Metabolic pathways
A3KGS3	mmu04014	Ras signaling pathway
A4FUQ5	mmu05150	Staphylococcus aureus infection
A4FUQ5	mmu04613	Neutrophil extracellular trap formation
A4FUQ5	mmu04080	Neuroactive ligand-receptor interaction
A6BLY7	mmu04915	Estrogen signaling pathway
A6BLY7	mmu05150	Staphylococcus aureus infection
A6H584	mmu04820	Cytoskeleton in muscle cells
A6H584	mmu05165	Human papillomavirus infection
A6H584	mmu04510	Focal adhesion
A6H584	mmu04151	PI3K-Akt signaling pathway
A6H584	mmu04512	ECM-receptor interaction
A6H584	mmu04974	Protein digestion and absorption
A6H5Y3	mmu01230	Biosynthesis of amino acids
A6H5Y3	mmu04980	Cobalamin transport and metabolism
A6H5Y3	mmu00450	Selenocompound metabolism
A6H5Y3	mmu00270	Cysteine and methionine metabolism
A6H5Y3	mmu00670	One carbon pool by folate
A6H5Y3	mmu01100	Metabolic pathways
A6H666	mmu05016	Huntington disease
A6H666	mmu04260	Cardiac muscle contraction
A6H666	mmu04714	Thermogenesis
A6H666	mmu05022	Pathways of neurodegeneration - multiple diseases
A6H666	mmu05012	Parkinson disease
A6H666	mmu05014	Amyotrophic lateral sclerosis
A6H666	mmu05020	Prion disease
A6H666	mmu05208	Chemical carcinogenesis - reactive oxygen species
A6H666	mmu05415	Diabetic cardiomyopathy
A6H666	mmu05010	Alzheimer disease
A6H666	mmu01100	Metabolic pathways
A6H666	mmu00190	Oxidative phosphorylation
A6H666	mmu04932	Non-alcoholic fatty liver disease
A7MCT6	mmu00564	Glycerophospholipid metabolism
A7MCT6	mmu01100	Metabolic pathways
B0V2N1	mmu04514	Cell adhesion molecules
B1AQ75	mmu04915	Estrogen signaling pathway
B1AQ75	mmu05150	Staphylococcus aureus infection
B1AS29	mmu04724	Glutamatergic synapse
B1AS29	mmu04080	Neuroactive ligand-receptor interaction
B1AS42	mmu00520	Amino sugar and nucleotide sugar metabolism
B1AUE5	mmu04146	Peroxisome
B1AVD1	mmu04974	Protein digestion and absorption
B1AVY7	mmu04814	Motor proteins
B1AWN6	mmu04742	Taste transduction
B1AX39	mmu03018	RNA degradation
B1AY10	mmu05165	Human papillomavirus infection
B1AYB6	mmu03083	Polycomb repressive complex
B1AYL1	mmu04261	Adrenergic signaling in cardiomyocytes
B1AZI6	mmu03013	Nucleocytoplasmic transport
B1AZI6	mmu03040	Spliceosome
B1B1A0	mmu03083	Polycomb repressive complex
B2RPY5	mmu04340	Hedgehog signaling pathway
B2RQC6	mmu01100	Metabolic pathways
B2RQC6	mmu00240	Pyrimidine metabolism
B2RQC6	mmu00220	Arginine biosynthesis
B2RQC6	mmu00250	Alanine, aspartate and glutamate metabolism
B2RQC6	mmu01240	Biosynthesis of cofactors
B2RSH2	mmu04727	GABAergic synapse
B2RSH2	mmu04540	Gap junction
B2RSH2	mmu04022	cGMP-PKG signaling pathway
B2RSH2	mmu05034	Alcoholism
B2RSH2	mmu04725	Cholinergic synapse
B2RSH2	mmu04924	Renin secretion
B2RSH2	mmu04015	Rap1 signaling pathway
B2RSH2	mmu05163	Human cytomegalovirus infection
B2RSH2	mmu05030	Cocaine addiction
B2RSH2	mmu04024	cAMP signaling pathway
B2RSH2	mmu04726	Serotonergic synapse
B2RSH2	mmu04916	Melanogenesis
B2RSH2	mmu04670	Leukocyte transendothelial migration
B2RSH2	mmu04914	Progesterone-mediated oocyte maturation
B2RSH2	mmu05142	Chagas disease
B2RSH2	mmu05032	Morphine addiction
B2RSH2	mmu04071	Sphingolipid signaling pathway
B2RSH2	mmu04723	Retrograde endocannabinoid signaling
B2RSH2	mmu05170	Human immunodeficiency virus 1 infection
B2RSH2	mmu04724	Glutamatergic synapse
B2RSH2	mmu05133	Pertussis
B2RSH2	mmu05200	Pathways in cancer
B2RSH2	mmu04728	Dopaminergic synapse
B2RSH2	mmu04713	Circadian entrainment
B2RSH2	mmu04062	Chemokine signaling pathway
B2RSH2	mmu04928	Parathyroid hormone synthesis, secretion and action
B2RSH2	mmu04371	Apelin signaling pathway
B2RSH2	mmu05145	Toxoplasmosis
B2RSH2	mmu04360	Axon guidance
B2RSH2	mmu05207	Chemical carcinogenesis - receptor activation
B2RSH2	mmu04926	Relaxin signaling pathway
B2RSH2	mmu04730	Long-term depression
B2RSH2	mmu04915	Estrogen signaling pathway
B2RSH2	mmu04971	Gastric acid secretion
B2RSH2	mmu04935	Growth hormone synthesis, secretion and action
B2RSH2	mmu04934	Cushing syndrome
B2RSH2	mmu04923	Regulation of lipolysis in adipocytes
B2RSH2	mmu04261	Adrenergic signaling in cardiomyocytes
B2RSH2	mmu04611	Platelet activation
B2RSH2	mmu05012	Parkinson disease
B2RSH2	mmu04921	Oxytocin signaling pathway
B2RU80	mmu04520	Adherens junction
B2RUI1	mmu05168	Herpes simplex virus 1 infection
B2RVI8	mmu00980	Metabolism of xenobiotics by cytochrome P450
B2RVI8	mmu04976	Bile secretion
B2RVI8	mmu05204	Chemical carcinogenesis - DNA adducts
B2RWS6	mmu04919	Thyroid hormone signaling pathway
B2RWS6	mmu05164	Influenza A
B2RWS6	mmu05215	Prostate cancer
B2RWS6	mmu04520	Adherens junction
B2RWS6	mmu05165	Human papillomavirus infection
B2RWS6	mmu04066	HIF-1 signaling pathway
B2RWS6	mmu04350	TGF-beta signaling pathway
B2RWS6	mmu04916	Melanogenesis
B2RWS6	mmu03250	Viral life cycle - HIV-1
B2RWS6	mmu05200	Pathways in cancer
B2RWS6	mmu05167	Kaposi sarcoma-associated herpesvirus infection
B2RWS6	mmu03083	Polycomb repressive complex
B2RWS6	mmu04630	JAK-STAT signaling pathway
B2RWS6	mmu04024	cAMP signaling pathway
B2RWS6	mmu04935	Growth hormone synthesis, secretion and action
B2RWS6	mmu04068	FoxO signaling pathway
B2RWS6	mmu04310	Wnt signaling pathway
B2RWS6	mmu05152	Tuberculosis
B2RWS6	mmu04922	Glucagon signaling pathway
B2RWS6	mmu05161	Hepatitis B
B2RWS6	mmu04330	Notch signaling pathway
B2RWS6	mmu05211	Renal cell carcinoma
B2RWS6	mmu05166	Human T-cell leukemia virus 1 infection
B2RWS6	mmu05206	MicroRNAs in cancer
B2RWS6	mmu04720	Long-term potentiation
B2RWS6	mmu05203	Viral carcinogenesis
B2RWS6	mmu04110	Cell cycle
B2RWS6	mmu05016	Huntington disease
B2RX12	mmu04976	Bile secretion
B2RX12	mmu02010	ABC transporters
B2RX12	mmu01523	Antifolate resistance
B2RXA7	mmu01100	Metabolic pathways
B2RXA7	mmu00830	Retinol metabolism
B2RXC5	mmu05168	Herpes simplex virus 1 infection
B2RXS4	mmu04360	Axon guidance
B2RXZ1	mmu03018	RNA degradation
B2RY56	mmu03040	Spliceosome
B2RY71	mmu04814	Motor proteins
B2RY83	mmu00531	Glycosaminoglycan degradation
B2RY83	mmu01100	Metabolic pathways
B2RY83	mmu05205	Proteoglycans in cancer
B3GLJ3	mmu04080	Neuroactive ligand-receptor interaction
B5X0E4	mmu02010	ABC transporters
B8JK39	mmu05412	Arrhythmogenic right ventricular cardiomyopathy
B8JK39	mmu04810	Regulation of actin cytoskeleton
B8JK39	mmu04510	Focal adhesion
B8JK39	mmu05165	Human papillomavirus infection
B8JK39	mmu04512	ECM-receptor interaction
B8JK39	mmu05414	Dilated cardiomyopathy
B8JK39	mmu04514	Cell adhesion molecules
B8JK39	mmu04151	PI3K-Akt signaling pathway
B8JK39	mmu05410	Hypertrophic cardiomyopathy
B8JK39	mmu04820	Cytoskeleton in muscle cells
C0HK79	mmu03060	Protein export
C0HK79	mmu03060	Protein export
C0HK80	mmu03060	Protein export
C0HK80	mmu03060	Protein export
C0HKE1	mmu04217	Necroptosis
C0HKE1	mmu04613	Neutrophil extracellular trap formation
C0HKE1	mmu03082	ATP-dependent chromatin remodeling
C0HKE1	mmu04217	Necroptosis
C0HKE1	mmu05322	Systemic lupus erythematosus
C0HKE1	mmu05322	Systemic lupus erythematosus
C0HKE1	mmu03082	ATP-dependent chromatin remodeling
C0HKE1	mmu03082	ATP-dependent chromatin remodeling
C0HKE1	mmu05322	Systemic lupus erythematosus
C0HKE1	mmu04613	Neutrophil extracellular trap formation
C0HKE1	mmu05322	Systemic lupus erythematosus
C0HKE1	mmu05034	Alcoholism
C0HKE1	mmu05322	Systemic lupus erythematosus
C0HKE1	mmu03082	ATP-dependent chromatin remodeling
C0HKE1	mmu05034	Alcoholism
C0HKE1	mmu05034	Alcoholism
C0HKE1	mmu05034	Alcoholism
C0HKE1	mmu04217	Necroptosis
C0HKE1	mmu05322	Systemic lupus erythematosus
C0HKE1	mmu04613	Neutrophil extracellular trap formation
C0HKE1	mmu05322	Systemic lupus erythematosus
C0HKE1	mmu04613	Neutrophil extracellular trap formation
C0HKE1	mmu04613	Neutrophil extracellular trap formation
C0HKE1	mmu04217	Necroptosis
C0HKE1	mmu04613	Neutrophil extracellular trap formation
C0HKE1	mmu04613	Neutrophil extracellular trap formation
C0HKE1	mmu03082	ATP-dependent chromatin remodeling
C0HKE1	mmu05034	Alcoholism
C0HKE1	mmu05034	Alcoholism
C0HKE1	mmu05322	Systemic lupus erythematosus
C0HKE1	mmu05034	Alcoholism
C0HKE1	mmu03082	ATP-dependent chromatin remodeling
C0HKE1	mmu04217	Necroptosis
C0HKE1	mmu05034	Alcoholism
C0HKE1	mmu04613	Neutrophil extracellular trap formation
C0HKE1	mmu03082	ATP-dependent chromatin remodeling
C0HKE1	mmu04217	Necroptosis
C0HKE1	mmu03082	ATP-dependent chromatin remodeling
C0HKE1	mmu04217	Necroptosis
C0HKE1	mmu04217	Necroptosis
C0HKE1	mmu05034	Alcoholism
C0HKE1	mmu04613	Neutrophil extracellular trap formation
C0HKE1	mmu03082	ATP-dependent chromatin remodeling
C0HKE1	mmu05322	Systemic lupus erythematosus
C0HKE1	mmu04217	Necroptosis
C0HKE2	mmu05322	Systemic lupus erythematosus
C0HKE2	mmu03082	ATP-dependent chromatin remodeling
C0HKE2	mmu04613	Neutrophil extracellular trap formation
C0HKE2	mmu04217	Necroptosis
C0HKE2	mmu04613	Neutrophil extracellular trap formation
C0HKE2	mmu04613	Neutrophil extracellular trap formation
C0HKE2	mmu04217	Necroptosis
C0HKE2	mmu04217	Necroptosis
C0HKE2	mmu05322	Systemic lupus erythematosus
C0HKE2	mmu03082	ATP-dependent chromatin remodeling
C0HKE2	mmu05034	Alcoholism
C0HKE2	mmu05322	Systemic lupus erythematosus
C0HKE2	mmu05034	Alcoholism
C0HKE2	mmu04217	Necroptosis
C0HKE2	mmu05034	Alcoholism
C0HKE2	mmu03082	ATP-dependent chromatin remodeling
C0HKE2	mmu04613	Neutrophil extracellular trap formation
C0HKE2	mmu03082	ATP-dependent chromatin remodeling
C0HKE2	mmu05322	Systemic lupus erythematosus
C0HKE2	mmu03082	ATP-dependent chromatin remodeling
C0HKE2	mmu05034	Alcoholism
C0HKE2	mmu04217	Necroptosis
C0HKE2	mmu05322	Systemic lupus erythematosus
C0HKE2	mmu04217	Necroptosis
C0HKE2	mmu03082	ATP-dependent chromatin remodeling
C0HKE2	mmu05322	Systemic lupus erythematosus
C0HKE2	mmu05322	Systemic lupus erythematosus
C0HKE2	mmu04217	Necroptosis
C0HKE2	mmu04217	Necroptosis
C0HKE2	mmu05322	Systemic lupus erythematosus
C0HKE2	mmu05034	Alcoholism
C0HKE2	mmu03082	ATP-dependent chromatin remodeling
C0HKE2	mmu05034	Alcoholism
C0HKE2	mmu04613	Neutrophil extracellular trap formation
C0HKE2	mmu04613	Neutrophil extracellular trap formation
C0HKE2	mmu04217	Necroptosis
C0HKE2	mmu03082	ATP-dependent chromatin remodeling
C0HKE2	mmu05034	Alcoholism
C0HKE2	mmu04613	Neutrophil extracellular trap formation
C0HKE2	mmu04613	Neutrophil extracellular trap formation
C0HKE2	mmu05034	Alcoholism
C0HKE2	mmu03082	ATP-dependent chromatin remodeling
C0HKE2	mmu05034	Alcoholism
C0HKE2	mmu05322	Systemic lupus erythematosus
C0HKE2	mmu04613	Neutrophil extracellular trap formation
C0HKE3	mmu05034	Alcoholism
C0HKE3	mmu04613	Neutrophil extracellular trap formation
C0HKE3	mmu04217	Necroptosis
C0HKE3	mmu05034	Alcoholism
C0HKE3	mmu04217	Necroptosis
C0HKE3	mmu03082	ATP-dependent chromatin remodeling
C0HKE3	mmu04217	Necroptosis
C0HKE3	mmu05034	Alcoholism
C0HKE3	mmu05322	Systemic lupus erythematosus
C0HKE3	mmu04613	Neutrophil extracellular trap formation
C0HKE3	mmu03082	ATP-dependent chromatin remodeling
C0HKE3	mmu05034	Alcoholism
C0HKE3	mmu03082	ATP-dependent chromatin remodeling
C0HKE3	mmu03082	ATP-dependent chromatin remodeling
C0HKE3	mmu05322	Systemic lupus erythematosus
C0HKE3	mmu05034	Alcoholism
C0HKE3	mmu05034	Alcoholism
C0HKE3	mmu04613	Neutrophil extracellular trap formation
C0HKE3	mmu05322	Systemic lupus erythematosus
C0HKE3	mmu05034	Alcoholism
C0HKE3	mmu04217	Necroptosis
C0HKE3	mmu03082	ATP-dependent chromatin remodeling
C0HKE3	mmu04217	Necroptosis
C0HKE3	mmu05322	Systemic lupus erythematosus
C0HKE3	mmu05322	Systemic lupus erythematosus
C0HKE3	mmu04613	Neutrophil extracellular trap formation
C0HKE3	mmu04217	Necroptosis
C0HKE3	mmu04613	Neutrophil extracellular trap formation
C0HKE3	mmu03082	ATP-dependent chromatin remodeling
C0HKE3	mmu05322	Systemic lupus erythematosus
C0HKE3	mmu05322	Systemic lupus erythematosus
C0HKE3	mmu05034	Alcoholism
C0HKE3	mmu04217	Necroptosis
C0HKE3	mmu03082	ATP-dependent chromatin remodeling
C0HKE3	mmu05034	Alcoholism
C0HKE3	mmu04217	Necroptosis
C0HKE3	mmu04613	Neutrophil extracellular trap formation
C0HKE3	mmu03082	ATP-dependent chromatin remodeling
C0HKE3	mmu04217	Necroptosis
C0HKE3	mmu04613	Neutrophil extracellular trap formation
C0HKE3	mmu04613	Neutrophil extracellular trap formation
C0HKE3	mmu04613	Neutrophil extracellular trap formation
C0HKE3	mmu05322	Systemic lupus erythematosus
C0HKE3	mmu05322	Systemic lupus erythematosus
C0HKE3	mmu03082	ATP-dependent chromatin remodeling
C0HKE4	mmu05034	Alcoholism
C0HKE4	mmu04217	Necroptosis
C0HKE4	mmu04217	Necroptosis
C0HKE4	mmu03082	ATP-dependent chromatin remodeling
C0HKE4	mmu05034	Alcoholism
C0HKE4	mmu05034	Alcoholism
C0HKE4	mmu04613	Neutrophil extracellular trap formation
C0HKE4	mmu03082	ATP-dependent chromatin remodeling
C0HKE4	mmu04217	Necroptosis
C0HKE4	mmu04613	Neutrophil extracellular trap formation
C0HKE4	mmu04613	Neutrophil extracellular trap formation
C0HKE4	mmu04613	Neutrophil extracellular trap formation
C0HKE4	mmu04613	Neutrophil extracellular trap formation
C0HKE4	mmu04217	Necroptosis
C0HKE4	mmu03082	ATP-dependent chromatin remodeling
C0HKE4	mmu05034	Alcoholism
C0HKE4	mmu03082	ATP-dependent chromatin remodeling
